Term,Source,Category,Definition,
Areal scouring,SwissEdu,Glaciers,Large-scale erosion of bedrock in lowland areas by an ice sheet.,
Arete,1-NSIDC,Glaciers,"Sharp, narrow ridge formed as a result of glacial erosion from both sides.",
Banded fabric,Trombotto et al. 2014,Misc,The presence of banded or isobanded structures in periglacial soils is one of the most frequent features to be discerned in the sub-soils of temperate soils that have formerly been subjected to glacial or periglacial influences. Preferential mobilization of fines to surmount banded sediments and pressure stress accumulation adjacent to melted lenses are the major processes causing the banded microstructure.,
Block field,IPA 2005,Permafrost,A surficial layer of angular shattered rocks formed in either modern or Pleistocene periglacial environments,
Boulder clay,SwissEdu,Glaciers,"An English term for till, no longer favoured by glacial geologists.",
Chattermarks,1-NSIDC,Glaciers,Striations or marks left on the surface of exposed bedrock caused by the advance and retreat of glacier ice.,
Cirque,1-NSIDC,Glaciers,Bowl shape or amphitheater usually sculpted out of the mountain terrain by a cirque glacier.,
Col,PhysicalGeography.net,Landform,Saddle like depression found between two mountain peaks. Formed when two opposing cirque glaciers back erode an arte.  ,
Coulee,PhysicalGeography.net,Glaciers,(1) Steep-sided flow of volcanic lava that has solidified. (2) Abandoned glacial meltwater channel. (3) Term used in the United States to describe a steep-sided stream valley.  ,
Crescentic gouge,2-Molnia,Glaciers,"Any curved mark or fracture produced by plucking or chipping of the glacier's bed. Larger than chatter marks,typically the horns of these gouges point up glacier. Also called Lunate Fracture or Crescentic Mark.",
Cryopediment,Trombotto et al. 2014,Glaciers,Gently inclined erosion surfaces developed at the foot of valley sides or marginal slopes of geomorphological units developed by cryogenic processes under Periglacial conditions.,
Drift,2-Molnia,Glaciers,"A collective term used to describe all types of glacier sedimentary deposits, regardless of the size or amount of sorting. The term includes all sediment that is transported by a glacier, whether it is deposited directly by a glacier or indirectly by running water that originates from a glacier.",
Drumlin,1-NSIDC,Glaciers,Remnant elongated hills formed by historical glacial action; it is not clear exactly how they are formed and why they form only in some glaciated regions.,
Erosion,EU Climate-ADAPT,Glaciers,"The process of removal and transport of soil and rock by weathering, mass wasting, and the action of streams, glaciers, waves, winds and underground water.",
Erosional landform,PhysicalGeography.net,Landform,"Is a landform formed from the removal of weathered and eroded surface materials by wind, water, glaciers, and gravity. This includes landforms with some of the following geomorphic features: river valleys, glacial valleys, and coastal cliffs.",
Erratic,2-Molnia,Glaciers,"A rock of unspecified shape and size, transported a significant distance from its origin by a glacier or iceberg and deposited by melting of the ice. Erratics range from pebble-size to larger than a house and usually are of a different composition that the bedrock or sediment on which they are deposited.",
Esker,1-NSIDC,Glaciers,A sinuous ridge of sedimentary material (typically gravel or sand) deposited by streams that cut channels under or through the glacier ice.,
Fjord,1-NSIDC,Glaciers,Glacial troughs that fill with sea water.,
flour,1-NSIDC,Freshwater ice,A fine powder of silt- and clay-sized particles that a glacier creates as its rock-laden ice scrapes over bedrock; usually flushed out in meltwater streams and causes water to look powdery gray; lakes and oceans that fill with glacier flour may develop a banded appearance; also called rock flour.,
forefield,IACS-UNESCO,Glaciers,An unglacierized area abutting on a glacier margin.,
geology,AMS,Glaciers,The study of land features resulting from glaciation.,
Glacial polish,2-Molnia,Snow,"Glacial polish is the leveling and smoothing of rock by fine-grained debris at the glacier bed. Glacier ice alone is too soft to be a powerful rock-cutting agent. Many glaciers are armed with rock fragments embedded within the ice that are effective cutting tools. The rock-choked ice grazes over the glacier bed, removign rock obstacles and leaving the bedrock rounded and smoothed. In some places fine-grained debris polishes the bedrock to a lustrous surface finish called glacial polish. Coarser rocks may gouge scratches called striations.",
Glacial valley,PhysicalGeography.net,Glaciers,Valley that was influenced by the presence of glaciers. The cross-section of such valleys tends to be U-shaped because of glacial erosion. Similar to glacial trough.  ,
Glacier dammed lake,NOAA Hydro,Freshwater ice,The lake formed when a glacier flows across the mouth of an adjoining valley and forms an ice dam.,
Groove,SwissEdu,Landform,"A glacial abrasional form, with striated (q.v.) sides and base, orientated approximately parallel to the ice-flow direction, and commonly up to a few metres wide and deep.",
groove/furrow,2-Molnia,Glaciers,"A linear depression, inches to miles in length, produced by the removal of rock or sediment by the erosive action of a glacier.",
grooves,1-NSIDC,Glaciers,Grooves or gouges cut into the bedrock by gravel and rocks carried by glacial ice and meltwater; also called glacial striations.,
Hanging valley,1-NSIDC,Glaciers,A valley formed by a small glacier that has a valley bottom relatively higher than nearby valleys formed by larger glaciers.,
Horn,1-NSIDC,Glaciers,A peak or pinnacle thinned and eroded by three or more glacial cirques.,
Kame,2-Molnia,Glaciers,"A sand and gravel deposit formed by running water on stagnant or moving-glacier ice. Crevasse fills or crevasse ridges form within crevasses. Kames form on flat or inclined ice, in holes, or in cracks. A kame terrace forms between the glacier and the adjacent land surface. Shapes include hills, mounds, knobs, hummocks, or ridges.",
Kame terrace,PhysicalGeography.net,Landform,A long flat ridge composed of glaciofluvial sediment. This feature forms along the margin of a valley glacier where the glacial ice meets the valley's slope. Sediment is deposited by laterally flowing meltwater streams.  ,
Kettle,2-Molnia,Glaciers,"A depression that forms in an outwash plain or other glacial deposit by the melting of an in-situ block of glacier ice that was separated from the retreating glacier-margin and subsequently buried by glacier sedimentation. As the buried ice melts, the depression enlarges.",
Kettle hole,PhysicalGeography.net,Landform,Depression found in glacial deposits. Created when a piece of ice from a retreating glacier becomes embedded in soft glacial till or glacial drift deposits. Many are filled with water to form a small lake or pond.  ,
"lake, Ice-dammed ",2-Molnia,Freshwater ice,A lake that exists because its water is restricted from flowing by an ice dam. Sometimes these lakes form because an advancing glacier had blocked a valley.,
"lake, Ice-marginal ",2-Molnia,Freshwater ice,"A lake that is located adjacent to the terminus of a glacier. Typically, these lakes form in bedrock basins scoured by the glacier. They enlarge as the glacier retreats. Sometimes they are dammed by an End or Recessional Moraine.",
"lake, Moraine-dammed ",SwissEdu,Landform,"A lake formed as a glacier recedes from its terminal moraine, the moraine acting as an unstable dam (see glacial lake outburst flood).",
"lake, Paternoster",PhysicalGeography.net,Landform,A linear series of mountain valley lakes that are formed from glacial erosion. They form behind glacial moraines or in glacially carved out rock basins. The name of this feature is related to the series of lakes looking like a string of beads.  ,
"lake, Proglacial",SwissEdu,Landform,"A lake developed immediately in front of the glacier, commonly bordered by the mounds of unconsolidated deposits that characterise the terminal zone of a glacier.",
Loess,PhysicalGeography.net,Landform,Deposits of silt laid down by aeolian processes over extensive areas of the mid-latitudes during glacial and postglacial times.,
Moraine,1-NSIDC,Glaciers,"A mound, ridge, or other distinct accumulation of glacial till.",
Moraine code 1 (in contact with present day glacier) ,GLIMS Manual,Landform,"No moraines: no moraines;  Terminal moraines : Sometimes problematic to identify in satellite imagery due to the lack of distinction between terminal moraine and debris surface coverage of a glacier; Lateral and/or medial moraine: Sometimes problematic for detection by means of remote sensing techniques due to the lack of distinction between lateral moraine and debris surface coverage of a glacier; Push moraine: Push moraines are difficult to identify unambiguously by remote sensing techniques, because in satellite images they are often not distinguishable from 'normal' terminal moraines; Debris, uncertain if morainic: Debris, uncertain if morainic; Moraines, type uncertain or not listed: Moraines, type uncertain or not listed;",
Moraine code 2 (moraines farther downstream) ,GLIMS Manual,Landform,"No moraines: no moraines;  Terminal moraines : terminal moraines; Lateral and/or medial moraine: Lateral and/or medial moraine; Push moraine: Push moraines are difficult to identify unambiguously by remote sensing techniques, because in satellite images they are often not distinguishable from 'normal' terminal moraines. The only way to identify push moraines is by ground observations; Debris, uncertain if morainic: Debris, uncertain if morainic; Moraines, type uncertain or not listed: Moraines, type uncertain or not listed; ",
Moraine shoal,1-NSIDC,Glaciers,Glacial moraine that has formed a shallow place in water.,
"moraine, Dump ",1-NSIDC,Glaciers,A mound or layer of moraine formed along the edge of a glacier by rock that falls off the ice; sometimes called a ground moraine.,
"moraine, End ",1-NSIDC,Glaciers,An arch-shaped ridge of moraine found near the end of a glacier.,
