Term,Source,Category,Definition,
"AAR, Annual",IACS-UNESCO,Glaciers,"The AAR at the end of the mass-balance year. Annual AARs can vary greatly from year to year, but an average over a number of years, when compared with the Balanced-budget AAR, gives a measure of the health of the glacier. If the difference is large and in the same direction over a considerable time, a prolonged period of non-zero mass balance can be expected as the glacier seeks equilibrium.",
"AAR, Balanced-budget ",IACS-UNESCO,Glaciers,"The AAR, sometimes denoted AAR0, of a glacier with a mass balance equal to zero. Glaciers do not in general have mass balances equal to zero. The Balanced-budget AAR is usually estimated as the AAR at which a curve (often linear) fitted to a relation between AAR and the Annual surface mass balance Bsfc, observed over a number of years, crosses the axis Bsfc = 0. The AAR0 of non-calving glaciers has been found to vary roughly between 0.5 and 0.6 on average, although the range of variation is substantial. On calving glaciers it is typically larger, approaching 1.0 on the Antarctic Ice Sheet. AAR0 can exceed 0.8 on tropical glaciers of year-round ablation type. The Balanced-budget AAR may differ from the steady-state AAR because it summarizes observations made in conditions that may not approximate to steady state.",
"AAR, Equilibrium ",IACS-UNESCO,Misc,A synonym of Balanced-budget AAR.,
"AAR, Steady-state ",IACS-UNESCO,Glaciers,"The AAR of a glacier in steady state. The steady-state AAR is difficult to estimate because glaciers are seldom if ever in steady state. In practice, it must be estimated by modelling. To emphasize that the Balanced-budget AAR and steady-state AAR are distinct concepts, the steady-state AAR should be given a distinctive symbol, perhaps AAR0'.",
"AAR, Transient ",IACS-UNESCO,Misc,"The AAR at any instant, particularly during the ablation season.",
Ablation,2-Molnia,Snow,"Ablation refers to all processes by which snow, ice, or water in any form are lost from a glacier. Ablation is the loss of snow or ice by evaporation and melting. The rate at which ablation occurs depends on the atmospheric conditions present, such as air moisture content, solar radiation, temperature, and the reflectivity (Albedo) of the snow or ice surface. Fresh snow has a high albedo (0.7 to 0.9), indicating that 70 to 90 percent of the radiation received is reflected; glacier ice has a lower albedo of 0.2 to 0.4. Therefore, more radiation may be absorbed by glacier ice than by snow. Glaciers around the mountain receive different amounts of sunlight, so each glacier has its own characteristic ablation pattern.",
Ablation area,1-NSIDC,Glaciers,The area of a glacier where more glacier mass is lost than gained.,
Ablation cone,SwissEdu,Landform,"See dirt cone: A thin veneer of debris draping a cone of ice up to several metres high, formed because the debris has retarded ablation under it.",
Ablation hollows,1-NSIDC,Snow,"Depressions in the snow surface caused by the sun or warm, gusty wind.",
Ablation moraine,1-NSIDC,Glaciers,Mound or layer of moraine in the ablation zone of a glacier the rock has been plucked from the mountainside by the moving glacier and is melting out on the ice surface.,
Ablation season,IACS-UNESCO,Glaciers,"A time span extending from a seasonal maximum of glacier mass to a seasonal minimum. The ablation season is the same as the summer season on most glaciers, which are of winter-accumulation type. Special cases include glaciers of summer-accumulation type and year-round ablation type, and glaciers that have more than one ablation season during the year.",
"ablation, Annual",IACS-UNESCO,Misc,Ablation integrated over the mass-balance year. Annual ablation is the sum of winter ablation and summer ablation where winter and summer are well-differentiated. Formerly it was referred to as 'total ablation' when working in the stratigraphic system.,
"ablation, Basal ",IACS-UNESCO,Glaciers,"The removal of ice by melting at the base of a glacier. At the base of grounded temperate ice, melting is either fuelled by the geothermal heat flux and the conversion of the kinetic energy of basal sliding to heat, or results from variations of the pressure-melting point. Pressure melting, however, tends to be balanced by regelation. Typical continental geothermal heat fluxes G of 0.050.15 W m-2 imply potential basal ablation G/Lf of 514 mm w. E. A-1, where Lf is the latent heat of fusion. Much greater geothermal heat fluxes are found in areas of Active volcanism. If all of the energy of basal sliding is converted to heat, basal ablation ubb/Lf at rates of 330 mm w. E. A-1 is implied by sliding velocities ub of 10100 m a-1 and basal shear stress b of 105 Pa. Basal ablation rates tens or hundreds of times greater are implied beneath ice streams. At the base of an ice shelf or floating tongue, melting occurs because of convection of warmer sea water to the ice-water interface, supplying the required latent heat of fusion. The rate of melting depends on the temperature of the sea water and the efficiency of the heat transfer between the seawater and the base of the ice shelf. Basal ablation rates beneath ice shelves or floating tongues can reach tens of m w. E. A-1, equivalent to heat transfer at hundreds of W m-2.",
"ablation, Internal ",IACS-UNESCO,Snow,"Loss of mass from a glacier by melting of ice or firn between the summer surface and the bed. See mass-balance units. Internal ablation can occur due to strain heating of temperate ice as the ice deforms. However, the largest heat sources for internal ablation are likely to be the potential energy released by downward motion of the ice and of meltwater. The magnitude of the former is equivalent to a few mm w. E. A-1, and of the latter, which occurs mainly in conduits transferring water from the glacier surface to the bed, to up to a few tens of mm w. E. A-1. (These rates are expressed over the extent of a typical valley glacier.)",
"ablation, Net ",IACS-UNESCO,Misc,"The sum, if negative, of accumulation and ablation over any time period; if the sum is positive then net ablation is zero. In the ablation zone the net ablation is equal to the mass balance.",
"ablation, Summer ",IACS-UNESCO,Misc,Ablation integrated over the summer season. Summer ablation is not the same as summer mass balance. It is generally more negative because some of the lost mass may be offset by accumulation. Mass-balance measurements by the glaciological method generally measure summer mass balance and not summer ablation.,
"ablation, Surface ",IACS-UNESCO,Snow,"Ablation at the surface of the glacier, generally measured as the lowering of the surface with respect to the summer surface, corrected for the increase in density of any residual snow and firn and multiplied by the density of the lost mass.",
"ablation, Total ",IACS-UNESCO,Misc,A term formerly used in the stratigraphic system (Anonymous 1969; Appendix: A) for Annual ablation.,
"ablation, Winter ",IACS-UNESCO,Misc,Ablation integrated over the winter season.,
