Term,Source,Category,Definition,
Bergschrund,1-NSIDC,Glaciers,Crevasse that separates flowing ice from stagnant ice at the head of a glacier.,
Cascading,GLIMS Manual,Glaciers,Changes in the inclination of the glacier surface; Areas of crevasses and seracs are common; Descending in a series of marked steps with some crevasses and seracs ,
Crevasse,1-NSIDC,Glaciers,Open fissure in the glacier surface.,
Crevasse trace,SwissEdu,Glaciers,"A long vein of clear ice a few centimetres to a few metres wide, formed as a result of fracture and recrystallisation of ice under tension without separation of the two walls; these structures commonly form parallel to open crevasses and extend into them. Thicker veins of clear ice resulting from the freezing of standing water in open crevasses are also referred to as crevasse traces.",
"crevasse, En-echelon ",SwissEdu,Glaciers,Series of crevasses oriented at an angle to the glacier margin. These form as a result of rotational strain within the ice along the glacier's edge.,
"crevasse, Longitudinal",SwissEdu,Glaciers,A crevasse oriented more or less parallel to the long axis of a glacier. Longitudinal crevasses typically open on a valley glacierwhen the glacier becomes wider.,
"crevasse, Marginal ",1-NSIDC,Glaciers,A crevasse near the side of a glacier formed as the glacier moves past stationary valley walls; usually oriented about 45 degrees up-glacier from the side wall.,
"crevasse, Splay ",1-NSIDC,Glaciers,A crevasse pattern that forms where ice slowly spreads out sideways; commonly found near a glacier terminus.,
"crevasse, Transverse ",SwissEdu,Glaciers,"A crevasse oriented more or less perpendicular to the long axis of a glacier. Transverse crevasses typically open on a valley glacier when the terrain becomes steeper, such as above an icefall.",
Cryoconite hole,AMS,Glaciers,"A small pit in an ice surface produced by the sinking of a particle of dust of cosmic origin (known as cryoconite, a fine-grained dark-colored substance).",
Densification,IACS-UNESCO,Snow,"The conversion of snow to firn and then to glacier ice. Newly fallen snow has a variable density depending on the meteorological conditions of its formation and deposition. The density of dry snow increases rapidly at first, by the conversion of snowflakes to grains. Then, usually under the pressure of an increasing overburden of newer snow, density increases more slowly by settling of the grains to about 550 kg m-3, representing the maximum practically attainable packing. Snow becomes firn (in the structural sense) over a range of density beginning at about 400 kg m-3.Beyond the maximum packing density, even slower mechanisms of densification  sintering and plastic deformation of the grains, and recrystallization  become dominant. When the firn reaches a density of about 830 kg m-3, the pore spaces between crystals are closed off, air can no longer flow (as opposed to diffusing through the crystal lattices), and the substance is deemed to be glacier ice. When there has been no melting, densification rarely proceeds beyond 400 kg m-3 over the course of a typical mid-latitude winter. Depending on the accumulation (that is, loading) rate, glacier ice may be produced in times from a few years to a few centuries. Melting followed by refreezing can yield bulk densities near that of pure ice in times shorter than a day.",
Density,2-Molnia,Snow,"Density is the ratio of the mass of an object to its volume. Snow has a density averaging about 0.1, firn has a density greater than 0.55, and glacier ice has a density of about 0.89. The density of unmineralized fresh water is 1. Glaciologists measure snowpack density frequently so that they may anticipate future water supplies, and to assess avalanche hazards. The density of a fresh snowpack is about 0.1; firn has a density of about 0.55 and glacier ice, of about 0.89. Each annual snow layer has a characteristic grain size and density.",
Dust,IACS-UNESCO,Snow,"An accumulation of aerosol that, when deposited on the surface of a glacier, modifies the mass balance through its effect on surface albedo. Saharan dust, for instance, sometimes has a substantial impact on the mass balance of European glaciers. Volcanic eruptions can deliver dust and ash to nearby, and sometimes to distant, glaciers. In extreme cases the added material can turn the glacier into a debris-covered glacier. Dust can help to define the summer surface, and a dateable dust layer in firn or glacier ice can be useful as a marker horizon.",
Facies,IACS-UNESCO,Snow,"A collection of attributes serving to distinguish one part of the glacier from others; by extension, the part of the glacier so distinguished. The term, originally Latin for 'face, outward appearance', was borrowed from geology. Examples of diagnostic attributes include ice lenses in the firn, indicating refreezing and therefore the percolation facies; the absence of such lenses, possibly suggesting the dry snow facies; or the seasonal exposure of glacier ice, indicating the ablation facies. In glaciology the term zone is equivalent and is now more common.",
False ogives,1-NSIDC,Glaciers,Bands of light and dark on a glacier that were formed by rock avalanching.,
Firn,1-NSIDC,Snow,"Rounded, well-bonded snow that is older than one year; firn has a density greater than 550 kilograms per cubic-meter (35 pounds per cubic-foot); called n",
Firn area,IACS-UNESCO,Snow,"The zone of the glacier where the summer surface is underlain by firn instead of glacier ice. Changes in extent of the firn area, and thickness of the firn, complicate mass-balance calculations by the geodetic method since Sorge's law no longer applies. The firn area is not the same as the accumulation zone.",
Firn field,AMS,Snow,1.An area of firn that is not part of a glacier. 2.Same as accumulation area.,
Firn limit,1-NSIDC,Snow,The minimum elevation of firn lying on a glacier surface; each year's firn line marks a glacier's annual equilibrium line; also called firn line.,
Firn line,1-NSIDC,Snow,The minimum elevation of firn lying on a glacier surface; each year's firn line marks a glacier's annual equilibrium line; also called firn limit.,
Firn water table,1-NSIDC,Snow,The height of meltwater within saturated firn that is trapped over ice in a glacier.,
Firnification,AMS,Snow,The process of firn formation.,
Firnspiegel,1-NSIDC,Snow,"A thin sheet of ice formed on the glacier surface by rapid refreezing of solar-heated snow or firn, usually at high elevations during spring.",
Fluted snow,SwissEdu,Snow,"Steep, strongly ribbed and gullied snow slopes produced by a combination of rime on the ribs and avalanching in the gullies. These slopes form the upper parts of the accumulation area of tropical and Himalayan glaciers.",
Forbes bands,1-NSIDC,Glaciers,Alternate bands of light and dark on a glacier; usually found below steep narrow icefalls and thought to be the result of different flow and ablation rates between summer and winter.,
Fountain,2-Molnia,Glaciers,"A glacial spring, generally discharging supercooled water with a significant hydrostatic head.",
Geyser,1-NSIDC,Glaciers,Fountain that develops when water from a conduit is forced up to the surface of a glacier; also called a negative mill.,
Glacial lake,2-Molnia,Glaciers,"An accumulation of standing liquid water on (supraglacial), in (englacial), or under (subglacial) a glacier.",
Ice fall,PhysicalGeography.net,Glaciers,An area of crevassed ice on a glacier. Caused when the base of the glacier flows over steep topography.,
Ice ship,SwissEdu,Glaciers,"A pinnacle of ice, shaped like a triangular sail, typically several metres high, formed as a result of differential ablation under strong solar radiation, mainly in low, but sometimes high-arid latitudes.",
Iced firn,AMS,Snow,Firn that has become permeated by meltwater and then refrozen; a late stage in the formation of land ice from snow.,
Infiltration,IACS-UNESCO,Snow,"The entry of a liquid such as water into a permeable solid such as snow or firn, and, more loosely, the percolation of the liquid through the void spaces of the solid. In general, two forces govern infiltration gravity and capillary tension. The latter allows the solid to draw in the liquid and is determined by adhesive molecular forces, which can be substantial in materials with very small pores. The rate of infiltration of a liquid into a permeable solid is determined by the porosity and liquid content of the solid and by its hydraulic conductivity.",
Infiltration ice,IACS-UNESCO,Snow,"In Russian-language usage, ice derived from the refreezing of meltwater that has saturated the void spaces in snow or firn. See congelation, recrystallization, superimposed ice.",
Infiltration zone,IACS-UNESCO,Snow,"In the Russian-language literature, part of the lower percolation zone where meltwater is abundant in the snow and firn, but the firn is either a survival from previous years of more positive mass balance or is advected by the glacier flow from higher elevations. See zone. The infiltration zone is sometimes also referred to as the 'firn-ice zone'.",
Infiltration-congelation zone,IACS-UNESCO,Ice general,"In the Russian-language literature, a synonym of superimposed ice zone. See zone.",
Infiltration-recrystallization zone,IACS-UNESCO,Snow,"A term in Russian-language usage referring to the lower percolation zone, where enough meltwater is produced at the surface to percolate out of the snow and into the firn. See zone. In the 'cold infiltration-recrystallization zone', generally at higher elevation and sometimes called the 'cold firn zone', the meltwater refreezes in the firn because the temperature is below the freezing point. This refreezing is the dominant mechanism for the formation of glacier ice. In the 'warm infiltration-recrystallization zone', generally at lower elevation and sometimes called the 'warm firn zone', the temperature is at or near the freezing point and refreezing makes a lesser contribution to the formation of ice. The runoff limit may lie within the warm firn zone, or within the cold firn zone where slopes are steep.",
Melt pond,AMS,Glaciers,"A pond of liquid water (mostly from melted snow) on the surface of sea ice, usually occurring in the spring.  Melt ponds are common in the Arctic but less so in the Antarctic.",
Metamorphosis of snow,AMS,Snow,"The modification of snow grains to a less angular, more rounded form accompanied by a gradual increase in density.  Metamorphic processes include sublimation, evaporation, and vapor diffusion.",
mill,1-NSIDC,Glaciers,A nearly vertical channel in ice that is formed by flowing water; usually found after a relatively flat section of glacier in a region of transverse crevasses.,
