Term,Source,Category,Definition,
Albedo,1-NSIDC,Misc,"A non-dimensional, unit-less quantity that measures how well a surface reflects solar energy; ranges from 0 - 1; a value of 0 means the surface is a 'perfect absorber', where all incoming energy is absorbed, a value of 1 means the surface is a 'perfect reflector', where all incoming energy is reflected and none is absorbed.",
Barren zone,2-Molnia,Glaciers,"An area of fresh, vegetation-free bedrock around the margin of a retreating glacier that documents the recent loss of ice.",
Basal debris,SwissEdu,Glaciers,Rock fragments and ground-up bedrock incorporated into the base of a glacier.,
Basal ice layer,SwissEdu,Glaciers,"The layer of ice at the bed of a glacier that is the product of melting and refreezing (regelation, q.v.). It is strongly layered, sheared and incorporates a variable amount of debris.",
Basal lubrication,IPCC WGI AR5 2013,Glaciers,"Reduction of friction at the base of an ice sheet or glacier due to lubrication by meltwater. This can allow the glacier or ice sheet to slide over its base. Meltwater may be produced by pressureinduced melting, friction or geothermal heat, or surface melt may drain to the base through holes in the ice.",
Basal sliding,1-NSIDC,Glaciers,The sliding of a glacier over bedrock.,
Base flow ,UNESCO-WMO 2012,Glaciers,"Discharge which enters a stream channel mainly from groundwater, but also from lakes and glaciers, during long periods when no precipitation or snowmelt occurs.",
Blue ice,AMS,Glaciers,"Pure ice in the form of large single crystals.  It is blue owing to the scattering of light by the ice molecules; the purer the ice, the deeper the blue.",
Blue ice area,AMS,Glaciers,"Areas where surface ablation has exposed blue ice.  These are sites, usually on large ice sheets, where ice flow has concentrated meteorites that have fallen throughout the catchment area of the particular blue-ice area.",
Boundary,IACS-UNESCO,Glaciers,"The surface separating the glacier from its surroundings. The term is often simply a synonym of glacier margin or glacier outline, but it can be useful to have a separate word that is understood to encompass the glacier surface and the glacier bed as well.",
Bubbly ice,AMS,Ice general,Glacier ice containing air bubbles.  Air bubbles are trapped when the ice is formed from either water or compressed snow. A layer of bubbly ice is called a white band.,
"Coalescing, non contributing",GLIMS Manual,Glaciers,Glaciers whose tongues come together and flow in parallel without coalescing; No merging of ice masses; Glaciers whose tongues come together and flow in parallel without coalescing (WGMS 1977) ,
Compression flow,1-NSIDC,Glaciers,Flow that occurs when glacier motion is decelerating down-slope.,
Conduit,SwissEdu,Glaciers,A drainage tunnel within or at the bed of a glacier.,
Confluent,GLIMS Manual,Glaciers,Tributary glacier tongues that merge into other glaciers; Merging ice masses ,
Creeping flow,AMS,Glaciers,"Fluid flow at very small values of the Reynolds number, that is, in general, a very viscous flow.",
Cryoconite,IACS-UNESCO,Snow,"Dark, fine-grained debris on the glacier surface, often forming small, roughly circular patches. See cryoconite hole. The word was introduced by Nordenski",
Dead glacier,AMS,Glaciers,A glacier that has ceased moving due to excessive ablation or diminished accumulation; usually covered by moraine.,
Dead ice,1-NSIDC,Glaciers,Any part of a glacier which has ceased to flow; dead ice is usually covered with moraine.,
Dendrochronology,2-Molnia,Glaciers,The study of tree rings and subfossil wood to provide information about the glacial and climatic history of an area.,
Disarticulation,2-Molnia,Glaciers,"Disarticulation is the process through which large blocks of ice, sometimes greater than .5 miles in width, detach from the thinning and retreating terminus of a glacier that ends in a body of water. Disarticulation occurs as the terminus thins to where its buoyandcy no longer permits it to remain in contact with its bed. As the glacier begins to float free and rises off the bottom it rapidly comes apart along old fracture scars and crevasses. For example, at Bering Glacier, in the Chugach Mountains, Alaska, a single observed disarticulation event resulted in nearly 2/3 of a mile of terminus retreat in a single day. As many as 100 discrete, tabular pieces of glacier ice have been observed separating from the glacier's terminus in a single event. Bering Glacier flows through Wrangell-St. Elias National Park, Alaska.",
Discharge,IACS-UNESCO,Glaciers,"The rate of flow of ice or water through a vertical section perpendicular to the direction of the flow. Care is needed because discharge can refer to either ice discharge or meltwater discharge, as well as being used in hydrology to refer to water flow from basins in which there are no glaciers.",
Distributary,2-Molnia,Glaciers,A tongue of glacier ice that flows away from the main trunk of the glacier. This may result from differential melting changing the gradient of part of a glacier.,
Divide,IACS-UNESCO,Glaciers,"A line separating two contiguous glaciers, the horizontal flow of ice diverging on each side of the line. See glacier margin, glacier outline.",
Dome,UK Antarctic,Glaciers,Dome-shaped ice cap or snowfield or dome-shaped snow summit.,
Emergence velocity,IACS-UNESCO,Glaciers,"The vertical component, when it is directed upward, of the glacier-flow velocity vector at the glacier surface, at a point fixed in space. When the component is directed downward, it is called the submergence velocity. The emergence velocity is related through the continuity equation to the climatic-basal mass balance and the rate of thickness change. The component is typically upward in the ablation zone and downward in the accumulation zone.",
Englacial,IACS-UNESCO,Glaciers,"Pertaining to the interior of the glacier, between the summer surface and the bed.",
Englacial conduit,SwissEdu,Glaciers,"A channel, commonly cylindrical, formed within the body of a glacier, carrying water towards the glacier bed or margins. Capture of a stream upglacier commonly leads to their abandonment.",
Englacial debris,SwissEdu,Glaciers,"Debris dispersed throughout the interior of a glacier. It originates either as surface debris that is buried in the accumulation area or falls into crevasses, or in basal debris that is raised from the bed by thrusting or folding.",
Englacial stream,SwissEdu,Glaciers,A meltwater stream that has penetrated below the surface of a glacier and is making its way towards the bed.,
Expanded,GLIMS Manual,Misc,"Frontal expansion on a level surface (not necessary lowland); Less restricted by topography; Widening of the tongue (lateral expansion is less than for piedmont); Lobe or fan formed where the lower portion of the glacier leaves the confining wall of a valley and extends on to a less restricted and more level surface (WGMS 1970, 1998); Lobe or fan formed where the lower portion of the glacier leaves the confining wall of a valley and extends on to a less restricted and more level surface. Lateral extension markedly less than for piedmont. (WGMS 1977) ",
Expanded foot,IACS-UNESCO,Glaciers,The fan of glacier ice formed when a valley glacier or outlet glacier flows beyond its constricting valley walls onto lowland terrain and expands laterally.,
Extending flow,1-NSIDC,Glaciers,When glacier motion is accelerating down-slope.,
Fault,SwissEdu,Glaciers,A displacement in a glacier formed by ice fracturing without its walls separating. It can be recognized by the discordance of layers in the ice on either side of the fracture.,
Flow unit,SwissEdu,Glaciers,"A distinct stream of ice in a valley glacier, commonly bounded by lateral and medial moraines. The term applies down-stream of the zone of convergence of two or more valley glaciers.",
Flowline,IACS-UNESCO,Glaciers,"(1) A sequence of columns of infinitesimal cross section, each extending vertically from base to surface of the glacier, arranged so that each column but the first gains mass by flow from an upglacier neighbour and each column except possibly the last loses mass by flow to a downglacier neighbour. (2) The trace of such a sequence on the glacier surface. Ideally, the upglacier and downglacier walls of all the columns would be at right angles to the local horizontal velocity vector. It is assumed that flow through the other two walls of the columns may be neglected, by allowing an implicit relative width of the flowline to vary and thus to account for transverse straining. In practice, velocity measurements are usually sparse or lacking and it is necessary to construct the flowline from the surface topography. The topography is averaged within a radius of the order of the glacier thickness, to suppress the effect on calculations that might be exerted by short-wavelength topographic features that are not due to the glacier flow. The definitions may be extended to accommodate interrupted glaciers, in which part of the 'flow' is by avalanching from an upper part to a lower part.",
Fold,SwissEdu,Glaciers,Layers of ice (and sometimes debris) that have been deformed into a curved form by flow at depth in a glacier.,
Foliation,1-NSIDC,Snow,"Layering in glacier ice that has distinctive crystal sizes and/or bubbles; foliation is usually caused by stress and deformation that a glacier experiences as it flows over complex terrain, but can also originate as a sedimentary feature.",
forebay,IACS-UNESCO,Glaciers,The water in front of a calving glacier into which icebergs are discharged.,
front,AMS,Glaciers,The leading edge of a glacier. (Also called glacier terminus.),
Glacial environment,Trombotto et al. 2014,Glaciers,"This is the environment where Glaciers are located. It often includes unglaciated mountain peaks, called nunataks. Glaciers, Ice Caps, icefields and other surface Snow and Ice form an frozen water system that interacts with the atmosphere and hydrosphere. Glacial environments are characterized by a suite of distinct geomorphic processes and their associated landforms.",
Glacial milk,PhysicalGeography.net,Glaciers,Term used to describe glacial meltwater which has a light colored or cloudy appearance because of clay-sized sediment held in suspension.  ,
Glacial stream,2-Molnia,Glaciers,"A channelized accumulation of liquid water on (supraglacial), in (englacial), or under (subglacial) a glacier, moving under the influence of gravity.",
Glacier,1-NSIDC,Glaciers,"A mass of ice that originates on land, usually having an area larger than one tenth of a square kilometer; many believe that a glacier must show some type of movement; others believe that a glacier can show evidence of past or present movement.",
Glacier bed,SwissEdu,Glaciers,"Bedrock, or debris, over which the glacier flows.",
Glacier breeze,WMO METEOTERM,Glaciers,"Shallow wind which blows, by day and night, down the slopes of a glacier.",
Glacier cave,1-NSIDC,Glaciers,"A cave of ice, usually underneath a glacier and formed by meltwater; cave entrances are often enlarged near a glacier terminus by warm winds; most common on stagnant portions of glaciers.",
Glacier complex,IACS-UNESCO,Glaciers,A number of contiguous glaciers; a generic term for all collections of glaciers that meet at divides.,
Glacier fire,1-NSIDC,Glaciers,A phenomenon in which strong reflection of the sun on an icy surface causes a glacier to look like it is on fire.,
Glacier flow,2-Molnia,Glaciers,"The movement of ice in a glacier, typically in a downward and outward direction, caused by the force of gravity. 'Normal' flow rates are in feet per day. 'Rapid' flow rates (i.e. surge) are in 10s or 100s of feet per day.",
glacier hydrology,UNESCO-WMO 2012,Glaciers,"Branch of hydrology which deals with the origin, processes and regime of liquid water in a glacial system.",
Glacier ice,1-NSIDC,Snow,Well-bonded ice crystals compacted from snow with a bulk density greater than 860 kilograms per cubic-meter (55 pounds per cubic-foot).,
Glacier karst,SwissEdu,Glaciers,"Debris-covered stagnant ice, sometimes found at the snout of a retreating glacier, with numerous lake-bearing caverns and tunnels.",
Glacier outline,IACS-UNESCO,Glaciers,"The line in horizontal space separating the glacier from unglacierized terrain or, at divides, from contiguous glaciers. See glacier margin, boundary.",
Glacier wind,1-NSIDC,Glaciers,"A localized current of air occurring as a result of a glacier's melting processes; when the surface of glacial ice melts, the air above the glacier cools and becomes heavier than the surrounding air and flows down the glacial valley; glacier wind can also be wind that flows out of ice caves; a kind of katabatic wind.",
Glacier-wide,IACS-UNESCO,Glaciers,"Descriptive of a quantity that, whether or not it is expressed in specific units, has been measured or estimated over the entire glacier. The adjective is used to emphasize that the mass balance is that of the entire glacier and not that at a 'specific' location (for which the recommended term is point mass balance).",
"glacier, Alpine",1-NSIDC,Glaciers,A glacier that is confined by surrounding mountain terrain; also called a mountain glacier.,
"glacier, Branched-valley ",1-NSIDC,Glaciers,Glacier that has one or more tributary glaciers that flow into it; distinguished from a simple valley glacier that has only a single tributary glacier.,
"glacier, Calving",1-NSIDC,Freshwater ice,"Glacier that loses material by calving, usually a glacier that terminates in sea, lake, or river water.",
"glacier, Catchment",1-NSIDC,Snow,A semipermanent mass of firn formed by drifted snow behind obstructions or in the ground; also called a snowdrift glacier or a drift glacier.,
"glacier, Cirque",1-NSIDC,Glaciers,"Glacier that resides in basins or amphitheaters near ridge crests; most cirque glaciers have a characteristic circular shape, with their width as wide or wider than their length.",
"glacier, Cold-based ",IACS-UNESCO,Glaciers,"A glacier whose bed is below its pressure-melting point, implying that there is no liquid water at the bed; dry-based glacier is a synonym.",
"glacier, Continental ",AMS,Glaciers,"A continuous sheet of land ice that covers a very large area and moves outward in many directions.  This type of ice mass is so thick as to mask the land surface contours, in contrast to the smaller and thinner highland ice. The continental glacier of Greenland is sometimes called the Inland Ice. This term is often used to describe the great ice masses that characterized the ice ages.",
"glacier, Crater",IACS-UNESCO,Glaciers,A glacier contained in or overflowing from a volcanic crater.,
"glacier, Debris-covered ",IACS-UNESCO,Snow,"A glacier that supports a layer of rock, dust or ash detritus on most or all of the surface of its ablation zone. In the accumulation zone any deposited debris is buried by later snowfalls, but in the ablation zone debris remains at the surface and englacial debris is added to the surface layer from beneath as ice ablates away. The debris cover affects the rate of ablation, with very thin debris resulting in accelerated melt and debris thicker than a few tens of millimetres reducing the melting rate.",
"glacier, Drift",1-NSIDC,Snow,A semipermanent mass of firn formed by drifted snow behind obstructions or in the ground; also called a catchment glacier or a snowdrift glacier.,
"glacier, Dry-based ",IACS-UNESCO,Glaciers,"A glacier whose bed is below its pressure-melting point, implying that there is no liquid water at the bed. Cold-based glacier is a synonym.",
"glacier, Floating ",GLIMS Manual,Glaciers,Tidewater glaciers with floating tongues. Their lateral margins might be attached to the coastline or where there is no more topographic limitation it might expand. ,
"glacier, Grounded",GLIMS Manual,Glaciers,Glaciers which rest on bedrock to a large extent but which may have parts reaching into lake or sea water (tidewater glaciers). ,
"glacier, Hanging ",1-NSIDC,Glaciers,A glacier that terminates at or near the top of a cliff.,
"glacier, High polar ",AMS,Glaciers,"In Ahlmann's (1935) glacier classification, a polar glacier with firn in the accumulation area that is 100 m or more thick and that does not melt appreciably in summer.",
"glacier, Ice-cemented ",1-NSIDC,Glaciers,A rock glacier that has interstitial ice a meter or so below the surface.,
"glacier, Ice-cored ",1-NSIDC,Glaciers,A rock glacier that has a buried core of ice.,
"glacier, Interrupted",GLIMS Manual,Glaciers,"Glacier flow is interrupted by very steep cliff(s); No dynamic connection; Reconstruct below the cliff; Glacier that breaks off over a cliff and reconstitutes below. (WGMS, 1977); The entire catchment area of the glacier has to be looked at in order to identify if a glacier is interrupted or not! ",
"glacier, Lake-terminating ",IACS-UNESCO,Freshwater ice,"A glacier the terminus of which stands or floats in a lake. See calving, tidewater glacier.",
"glacier, Living",AMS,Glaciers,A glacier experiencing glacier flow.  Expansion or retreat is determined by the balance between mass accretion and mass depletion processes.,
"glacier, Mountain ",1-NSIDC,Glaciers,A glacier that is confined by surrounding mountain terrain; also called an alpine glacier.,
"glacier, Mountain apron ",IACS-UNESCO,Glaciers,"A small glacier of irregular outline, elongate along slope, in mountainous terrain.",
"glacier, Niche",GLIMS Manual,Glaciers,"Small glaciers in v shaped couloirs or depressions; Adhering a mountain slope; Genetically less developed in form than cirque glacier; Small glacier in V-shaped gully or depression on a mountain slope; generally more common than the genetically further developed cirque glacier (WGMS 1970, 1998); Small glacier in V-shaped gully or depression on a mountain slope (WGMS 1977) ",
"glacier, Niche ",1-NSIDC,Glaciers,Very small glacier that occupies gullies and hollows on north-facing slopes (northern hemisphere) ; may develop into cirque glacier if conditions are favorable.,
"glacier, Outlet ",1-NSIDC,Glaciers,A valley glacier which drains an inland ice sheet or ice cap and flows through a gap in peripheral mountains.,
"glacier, Piedmont ",1-NSIDC,Glaciers,"Large ice lobe spread out over surrounding terrain, associated with the terminus of a large mountain valley glacier.",
"glacier, Polar ",1-NSIDC,Glaciers,"A glacier entirely below freezing, except possibly for a thin layer of melt near the surface during summer or near the bed; polar glaciers are found only in polar regions of the globe or at high altitudes.",
"glacier, Polythermal ",IACS-UNESCO,Glaciers,"A glacier containing some cold ice and some temperate ice. Classically, as first described, a polythermal glacier has a basal layer of temperate ice overlain by a layer of cold ice (panel a in Figure 9), above which there may be a surface layer up to about 1015 m thick that warms to the melting point seasonally. See cold glacier, temperate glacier.",
"glacier, Reconstituted ",1-NSIDC,Glaciers,"A glacier that is reconstructed or reconstituted out of other glacier material; usually formed by seracs falling from a hanging glacier then re-adhering; also called reconstructed glacier, regenerated glacier, or glacier remainie.",
"glacier, Reference ",IACS-UNESCO,Glaciers,"In the monitoring strategy of the Global Terrestrial Network for Glaciers, a glacier with a long-term, continuous, continuing programme of mass-balance observations. See tier, benchmark glacier.",
"glacier, Regenerated (or rejuvenated) ",SwissEdu,Glaciers,A glacier which develops from ice-avalanche material beneath a rock cliff.,
"glacier, Retreating",1-NSIDC,Glaciers,A glacier whose terminus is increasingly retreating upvalley compared to its previous position due to a higher level of ablation compared to accumulation.,
"glacier, Rock",1-NSIDC,Snow,"Looks like a mountain glacier and has active flow; usually includes a poorly sorted mess of rocks and fine material; may include: (1) interstitial ice a meter or so below the surface ('ice-cemented'), (2) a buried core of ice ('ice-cored'), and/or (3) rock debris from avalanching snow and rock.",
"glacier, rock, Active",1-NSIDC,Ice general,"A mass of rock fragments and finer material, on a slope, that contains either an ice core or interstitial ice, and shows evidence of present movement.",
"glacier, rock, Inactive",1-NSIDC,Ice general,"A mass of rock fragments and finer material, on a slope, that contains either an ice core or interstitial ice, and shows evidence of past, but not present, movement.",
"glacier, rock, Relict ",Trombotto et al. 2014,Glaciers,"A mass of rock fragments and finer material, on a slope, that shows evidence of past movement, but does no longer contain any Ground Ice.",
"glacier, Snowdrift",1-NSIDC,Snow,A semipermanent mass of firn formed by drifted snow behind obstructions or in the ground; also called a catchment glacier or a drift glacier.,
"glacier, Sub-polar ",IACS-UNESCO,Glaciers,"An obsolete term, due to Ahlmann (1935), describing a glacier with an accumulation zone in which, except for possible seasonal warming and melting near the surface, the temperature is below the freezing point to depths of 100 m or more. The term is sometimes used as if it were a synonym of polythermal glacier.",
"glacier, Subpolar ",1-NSIDC,Glaciers,"A glacier whose temperature regime is between polar and temperate; usually predominantly below freezing, but could experience extensive summer melt.",
