Term,Type,Definition,Notes
Ablation,process,"All processes that remove snow, ice, or water from a snowfield, glacier, etc., that is typically melt, evaporation, sublimation as well as wind erosion, avalanches, calving, etc.","The definitions in the GCW glossary are quite problematic.  I've copied my summary of the issues with this term below:

There are three main inconsistencies to resolve with this set of definitions:

1. Prior to 1980, the term ablation was not used to describe mechanical processes for removal of snow or ice (e.g., wind erosion, avalanches, calving, etc.) so many definitions do not include these processes.  Resolving this might include splitting the term into a pre-1980 version and a post-1980 version.  Alternately a single term with the more inclusive meaning could be used if the community does not object.  A semantic annotation to the effect that the definition was different prior to 1980 should be made in any ontology using the term.

2. The term is used both as a process and as an amount of mass removed.  Semantically speaking these are two distinct concepts (e.g., ablation results in ablation_amount of ice loss), though ablation_amount would more likely be an attribute.

3. Semantically speaking it is problematic to use the term ablation as if it were a synonym of surface ablation, when there are other types of ablation (e.g., internal ablation, basal ablation, frontal ablation, etc.).  Some definitions do this as well (e.g., NSIDC accessed 2016).  In general, it looks like this is related to the purpose or generality of the glossary from which the term came; so may be an easy issue to resolve.

Other issues:

a. Some definitions include only snow and ice; while others include ""water in any form"".  How to handle this depends on the resolution to the inconsistencies above.

b. Some definitions state that ablation is a process affecting only glaciers, or only glaciers and snow-fields, or only snow cover, or glaciers, floating ice or snow cover. How to handle this depends on the resolution to the inconsistencies above.

c. Some definitions include additional discussion of the the physics involved which would be useful for connecting glacier ontologies to atmospheric, solar, etc. ontologies.  This information should be captured no matter how the inconsistencies above are resolved."
Ablation zone,,"The part of the glacier, usually at lower elevations, where ablation exceeds accumulation in magnitude, that is, where the cumulative mass balance relative to the start of the mass-balance year is negative. Unless qualified, for example by giving a date within the year, references to the ablation zone refer to its extent at the end of the mass-balance year. The extent of the ablation zone can vary strongly from year to year. A synonym of ablation area.",
Abrasion,process,"Physical wearing and grinding of a surface through friction and impact by material carried in air, water, or ice; with resulting movement of debris.",
Accumulation,process,"All processes by which snow, ice, or water in any form are added to a glacier, floating ice or snow cover. These include direct precipitation of snow, ice or rain, condensation of ice from vapour, and transport of snow and ice to the glacier.","Like ablation, accumulation is one of the least consistently defined terms in the GCW glossary.  My summary notes about the range of definitions follow:

This term is used both as a process and as an amount of mass added. Semantically speaking these are two distinct concepts (e.g., accumulation results in accumulation_amount of ice or snow gain), though accumulation_amount would more likely be an attribute.

The scope of this term varies depending on the definition.  Some definitions constrain themselves snow or ice added to glaciers; while others also include ice fields, snow cover, and/or floating ice.  How to resolve this depends on the scope desired.

Some definitions include additional discussion of the the physics involved which would be useful for connecting glacier ontologies to atmospheric, hydrologic, etc. ontologies.  This information should be captured no matter how the inconsistencies above are resolved."
Accumulation zone,,"That part of a glacier's surface, usually at higher elevations, on which there is net accumulation of snow, which subsequently turns into firn and then glacier ice. A synonym of accumulation area and the opposite of ablation area.",
Avalanche,,"A mass of snow, firn, rock, and/or ice falling down a mountain or incline often entraining additional material such as earth, rocks, and debris of all types as it descends. Avalanches may be characterized as loose and turbulent, or slab; either type may be dry or wet according to the nature of the snow forming it, although dry snow usually forms loose avalanches and wet snow forms slabs. A large avalanche sweeps a current of air along with and in front of it as an avalanche wind, which supplements its already tremendous destructive force. The duration of an avalanche is typically seconds to minutes. In practice, the term usually refers to the snow avalanche. In the United States, the term snow slide is commonly used to mean a snow avalanche.",
Bergschrund,Parts of a glacier,"In ice-dynamics, a single large crevasse or series of sub-parallel crevasses that develop at the head of a cirque or valley glacier which separates the moving glacier ice from the rock wall and the ice apron (stagnant ice) attached to it.  The bergschrund is the headward boundary of the glacier. Bergschrund is an Anglicized word of German origin.

In hydrology and other non-ice dynamics fields, a single large crevasse or series of sub-parallel crevasses that develop at the head of a cirque or valley glacier which separates the moving glacier ice from the rock wall and the ice apron (stagnant ice) attached to it. The stagnant ice above the bergschrund is part of the glacier.  Bergschrund is an Anglicized word of German origin.",
Calving,process,"The component of ablation consisting of the breaking off of discrete pieces of ice from a glacier margin into lake or sea water, producing icebergs, or onto land in the case of dry calving. Calving excludes frontal melting and sublimation, although in practice it may be difficult to measure the phenomena separately. For example subaqueous frontal melting may lead to the detachment of icebergs by undercutting or by encouraging the propagation of crevasses.","Another inconsistently defined term.  My notes follow:

All of these terms refer to roughly the same process, its source (calving glacier) or its results (calved ice); however,

1. some definitions assume that calving can only happen into water while others allow calving on land

2. some definitions allow calving to occur from any form of ice of land origin, while others restrict it to glaciers or some subset of all of the types of ice of land origin

Whether several definitions are needed or whether the community will accept a general inclusive definition is the question. In any case, it should be recognized that calving is an ablative process that results in icebergs if calving into water.  What ice calved onto land would be called is not obvious, especially since the only definition of calved ice excludes ice falling onto land.

Whatever decisions are made need to be consistent across all related terms."
Cirque,Landform,"A bowl-shaped, amphitheater-like depression eroded into the head or the side of a glacier valley by a cirque glacier. Typically, a cirque has a lip at its lower end and often contains a rock basin with a tarn (q.v.) . The term is French and is derived from the Latin word circus. Has synonyms corrie or cwm in Britain.",
Crevasses,Parts of a glacier,"Crevasses are open fissures in glacier ice. Crevasses form where the speed of the ice is variable, such as in icefalls and at valley bends. The surface may appear blistered with crevasses where the ice flows over bedrock knobs and ridges. Crevasses are a glacier's most awesome features and are a constant hazard for climbers. They form where adjacent parts of a glacier are moving at different speeds. This unequal rate of flow produces stresses in the ice that cause it to break. Groups of crevasses often form where the glacier flows over a steep place in its bed. The ice moves faster here, and pulls apart, and a crevasse is formed. Although a large crevasse may seem to be bottomless to the observer, most crevasses are less than 100 feet deep because ice pressure tends to close the open spaces in the ice below that depth.",
