lat lon 18O H/D
-77.72596 162.21936 -44.43 -351.50
-77.72599 162.21789 -41.79 -335.30
-77.72618 162.21675 -41.60 -336.90
-77.72636 162.21604 -43.88 -348.70
-77.72642 162.21516 -43.22 -345.90
-77.72654 162.21408 -42.88 -345.80
-77.72660 162.21281 -44.07 -349.30
-77.72672 162.21161 -44.40 -350.90
-77.72674 162.21084 -44.45 -356.50
-77.72681 162.20948 -44.06 -356.60
-77.72686 162.20851 -43.74 -350.00
-77.72693 162.20755 -44.49 -352.90
-77.72695 162.20627 -43.38 -343.70
-77.72701 162.20529 -44.51 -355.60
-77.72712 162.20435 -44.34 -358.70
-77.72715 162.20299 -44.60 -357.50
-77.72717 162.20202 -41.90 -337.30
-77.72728 162.20109 -42.33 -340.90
-77.72735 162.19963 -43.06 -344.30
-77.72746 162.19804 -42.37 -337.30
-77.72750 162.19692 -43.21 -343.40
-77.72758 162.19544 -42.59 -342.40
-77.72772 162.19403 -41.30 -331.80
-77.72786 162.19263 -42.78 -343.10
-77.72791 162.19139 -42.28 -338.20
-77.72791 162.19139 -42.72 -341.90
-77.72822 162.18850 -42.96 -342.00
-77.72834 162.18645 -44.17 -354.80
-77.72848 162.18448 -44.09 -357.10
-77.72853 162.18320 -44.96 -361.60
-77.72888 162.17961 -43.79 -350.70
-77.72895 162.17875 -43.54 -345.80
-77.72920 162.17415 -43.05 -344.40
-77.72933 162.18253 -43.21 -349.40
-77.72940 162.18672 -44.61 -357.90
-77.72946 162.19091 -43.95 -352.60
-77.73000 162.17161 -44.15 -353.80
-77.73008 162.17083 -43.66 -367.70
-77.73015 162.17005 -44.04 -358.30
-77.73028 162.16868 -43.40 -348.80
-77.73035 162.16799 -43.83 -349.90
-77.73042 162.16730 -44.22 -354.50
-77.73048 162.16662 -44.74 -358.60
-77.73055 162.16593 -43.44 -348.10
-77.73067 162.16454 -44.50 -354.30
-77.73073 162.16385 -44.14 -355.80
-77.73078 162.16315 -44.37 -356.20
-77.73084 162.16246 -43.70 -343.10
-77.73090 162.16176 -44.50 -358.70
-77.73103 162.16046 -43.96 -349.70
-77.73110 162.15980 -43.39 -350.60
-77.73116 162.15915 -44.70 -358.70
-77.73123 162.15850 -44.56 -356.60
-77.73129 162.15762 -44.97 -360.40
-77.73144 162.15632 -45.03 -361.30
-77.73151 162.15567 -44.93 -357.20
-77.73158 162.15502 -44.11 -349.10
-77.73166 162.15437 -44.33 -358.80
-77.73173 162.15372 -44.56 -359.30
-77.73186 162.15233 -44.09 -350.50
-77.73192 162.15164 -44.25 -355.90
-77.73198 162.15094 -44.30 -357.80
-77.73205 162.15025 -43.92 -348.30
-77.73211 162.14955 -44.12 -355.30
-77.73225 162.14827 -43.97 -313.30
-77.73232 162.14763 -44.29 -355.50
-77.73239 162.14698 -43.23 -349.70
-77.73246 162.14634 -43.21 -348.60
-77.73253 162.14570 -42.94 -346.70
-77.73266 162.14433 -30.48 -349.90
-77.73273 162.14364 -43.46 -345.20
-77.73279 162.14295 -43.64 -354.20
-77.73286 162.14227 -43.13 -344.30
-77.73292 162.14158 -43.06 -347.00
-77.73303 162.14025 -44.72 -358.70
-77.73308 162.13958 -42.86 -342.10
-77.73313 162.13891 -43.93 -351.90
-77.73319 162.13825 -43.99 -353.60
-77.73324 162.13758 -44.48 -357.60
-77.73337 162.13621 -44.02 -351.10
-77.73343 162.13553 -44.44 -354.10
-77.73349 162.13485 -44.80 -361.60
-77.73356 162.13416 -43.46 -352.00
-77.73362 162.13348 -44.35 -352.90
-77.73371 162.13207 -45.16 -363.60
-77.73375 162.13136 -43.34 -349.40
-77.73379 162.13065 -44.76 -361.50
-77.73384 162.12995 -44.86 -364.40
-77.73388 162.12924 -44.13 -359.20
-77.73398 162.12785 -44.60 -361.20
-77.73403 162.12716 -44.62 -357.40
-77.73408 162.12646 -44.55 -363.30
-77.73413 162.12577 -45.34 -361.70
-77.73418 162.12507 -44.25 -359.70
-77.73431 162.12374 -44.21 -352.60
-77.73438 162.12308 -44.01 -357.20
-77.73445 162.12241 -44.50 -354.40
-77.73451 162.12175 -44.82 -359.10
-77.73458 162.12108 -44.69 -359.10
-77.73470 161.11900 -44.62 -359.70
-77.73475 162.11858 -44.88 -363.70
-77.73481 162.11774 -44.90 -363.70
-77.73487 162.11691 -45.00 -362.10
-77.73494 162.11542 -42.84 -346.60
-77.73497 162.11468 -43.04 -342.30
-77.73500 162.11393 -42.97 -346.10
-77.73504 162.11319 -44.55 -360.00
-77.73507 162.11244 -43.82 -345.60
-77.73511 162.11102 -43.90 -354.70
-77.73514 162.11032 -44.79 -362.50
-77.73516 162.10961 -44.73 -362.20
-77.73518 162.10890 -43.96 -352.20
-77.73520 162.10819 -44.67 -357.50
-77.73523 162.10642 -44.41 -353.20
-77.73524 162.10558 -44.58 -360.70
-77.73526 162.10471 -43.62 -353.70
-77.73527 162.10384 -43.44 -352.10
-77.73528 162.10237 -43.44 -347.10
-77.73529 162.10163 -44.13 -358.10
-77.73529 162.10089 -43.91 -356.00
-77.73530 162.10016 -43.02 -343.30
-77.73530 162.09942 -41.59 -333.50
-77.73546 162.09802 -43.76 -349.40
-77.73554 162.09732 -43.02 -349.60
-77.73562 162.09661 -43.84 -356.70
-77.73569 162.09610 -42.46 -341.10
-77.73570 162.09591 -42.66 -344.50
-77.73571 162.09521 -42.43 -342.80
-77.73572 162.09381 -42.20 -336.70
-77.73574 162.09311 -41.23 -331.90
-77.73575 162.09241 -41.93 -338.70
-77.73578 162.09171 -43.57 -347.70
-77.73578 162.08960 -43.25 -345.60
-77.73582 162.08889 -43.00 -339.90
-77.73586 162.08818 -42.76 -340.90
-77.73591 162.08748 -42.86 -339.90
-77.73595 162.08677 -43.89 -355.80
-77.73604 162.08531 -42.53 -339.10
-77.73608 162.08459 -42.50 -342.90
-77.73612 162.08386 -44.10 -353.60
-77.73617 162.08313 -42.94 -339.10
-77.73621 162.08240 -42.08 -338.90
-77.73631 162.08095 -41.89 -333.70
-77.73636 162.08022 -42.54 -334.90
-77.73641 162.07949 -41.96 -334.90
-77.73646 162.07877 -43.23 -341.90
-77.73651 162.07804 -43.57 -355.40
